dependencies,edges
12,67
5,213
11,49
9,146
0,0
5,17
0,0
0,0
4,4
3,3
9,35
0,0
6,6
9,353
0,0
3,3
3,39
5,38
1,1
5,146
6,6
1,1
0,0
3,3
0,0
0,0
2,183
0,0
2,2
4,4
12,181
6,89
5,39
0,0
2,2
13,71
10,46
9,19
5,19
1,1
2,2
0,0
1,1
2,2
3,6
1,1
4,15
16,712
7,174
7,7
0,0
0,0
5,17
5,5
3,3
4,4
0,0
14,314
0,0
5,31
4,118
18,253
0,0
3,3
0,0
2,2
0,0
0,0
2,2
1,1
0,0
5,5
5,5
5,5
2,2
1,1
1,1
1,1
1,1
0,0
11,96
0,0
3,3
0,0
0,0
8,106
1,1
0,0
1,1
0,0
0,0
2,2
1,1
2,2
1,1
4,75
0,0
0,0
0,0
2,2
