min,min_time,max,max_time
0.0,0.04,0.0,0.03
0,10,0,10
0,10,0,10
0,10,0,10
3.6,9.99,3.6,5.44
3.46,1.03,3.46,1.01
5.9,0.22,5.9,0.13
0.0,0.13,0.0,0.12
0.0,0.02,0.0,0.02
0.0,1.27,3.6,1.2
5.9,1.35,5.9,1.38
0.0,0.62,0.0,0.59
0.0,0.02,0.0,0.05
0.0,0.74,0.0,0.6
0.0,0.41,0.0,0.42
0.0,1.78,0.0,1.35
0.0,0.01,0.0,0.02
0,10,0,10
0.0,4.07,0.0,1.07
0.0,3.17,0.0,2.9
0.0,0.02,0.0,0.02
5.9,3.11,5.9,2.69
0.0,0.01,0.0,0.02
0.0,0.09,0.0,0.08
5.04,9.21,5.04,9.42
5.52,0.08,5.52,0.1
1.4,1.56,1.4,1.56
0.0,0.2,0.0,0.17
0,10,0,10
0.0,2.6,0.0,0.03
0.0,0.94,0.0,0.66
0.0,0.67,0.0,0.52
0,10,0,10
0.0,2.73,0.0,0.58
0.0,0.48,0.0,0.25
0.0,0.02,0.0,0.03
0.0,0.27,0.0,0.24
5.33,3.6,5.33,3.82
3.6,0.16,3.6,0.13
0.0,1.11,0.0,1.07
0.0,3.33,0.0,3.34
0.0,0.01,0.0,0.02
0,10,0,10
3.15,6.25,3.15,3.84
2.7,0.12,2.7,0.13
0.0,0.01,0.0,0.02
0.0,0.59,0.0,0.47
0.0,1.28,0.0,1.53
3.6,0.07,3.6,0.05
0.0,1.68,0.0,1.56
0,10,0,10
0.0,6.73,0.0,2.76
0.0,0.44,0.0,0.5
0.0,0.93,0.0,0.8
0.0,0.84,0.0,0.86
0.0,1.37,0.0,1.6
0.0,1.49,0.0,1.25
0.0,3.91,0.0,3.67
5.9,1.12,5.9,1.22
0.0,0.09,0.0,0.1
0.0,0.04,0.0,0.04
4.87,2.8,4.87,2.28
0.0,0.29,0.0,0.28
5.9,1.24,5.9,1.17
5.71,5.18,5.71,4.71
0.0,0.45,0.0,0.41
0.0,0.01,0.0,0.01
0.0,0.84,0.0,0.77
0.0,2.37,0.0,2.28
4.56,1.18,4.56,1.18
0,10,0,10
0.0,5.54,0.0,2.54
0.0,1.27,0.0,1.39
0.0,6.67,5.9,6.99
0.0,0.02,0.0,0.02
4.75,1.01,4.75,0.91
5.9,1.07,5.9,1.04
0.0,0.77,0.0,0.93
0.0,1.43,0.0,1.31
0.0,0.14,0.0,0.15
0,10,0,10
0.0,2.21,0.0,0.15
0.0,0.16,0.0,0.14
0.0,0.27,0.0,0.23
5.9,0.42,5.9,0.38
3.46,0.68,3.46,0.59
0.0,0.5,0.0,0.46
0.0,0.87,0.0,0.92
0.0,0.01,0.0,0.02
0.0,0.01,0.0,0.02
0.0,0.02,0.0,0.02
5.39,1.23,5.39,1.04
0.0,0.03,0.0,0.03
5.9,0.07,5.9,0.07
0.0,0.01,0.0,0.02
0.0,0.02,0.0,0.02
0.0,0.01,0.0,0.02
0.0,1.51,0.0,1.61
0.0,0.01,0.0,0.02
0.0,0.01,0.0,0.02
